freq,unit,na_item,sector,geo\TIME_PERIOD	1949 	1950 	1951 	1952 	1953 	1954 	1955 	1956 	1957 	1958 	1959 	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,DIR_S14_S15,S14_S15,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.23 	48.32 	51.25 	56.93 	63.99 	68.65 	71.65 	78.48 	86.94 	98.62 	111.13 	125.28 	133.54 	132.28 	131.71 	130.49 	125.90 	127.08 	120.42 	114.68 	106.67 	101.80 	97.71 	94.72 	89.95 	91.23 	87.33 	83.00 	73.14 
A,PC,DIR_S14_S15,S14_S15,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63.79 	60.37 	54.99 	55.78 	57.47 	59.21 	61.02 	64.60 	69.44 	74.92 	83.69 	90.64 	94.75 	96.28 	98.56 	100.34 	101.46 	103.75 	104.13 	105.83 	107.82 	110.77 	113.11 	114.41 	114.65 	118.43 	119.07 	117.52 	111.04 
A,PC,DIR_S14_S15,S14_S15,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.14 	54.30 	54.89 	54.32 	56.29 	56.32 	56.30 	57.03 	59.35 	62.14 	66.91 	70.56 	74.38 	77.34 	80.88 	82.73 	85.39 	86.25 	88.19 	88.98 	90.50 	92.13 	94.34 	96.55 	98.82 	101.80 	102.22 	101.84 p	95.35 
A,PC,DIR_S14_S15,S14_S15,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.44 	7.25 	12.74 	16.33 	16.00 	17.56 	23.11 	30.41 	36.93 	40.97 	46.68 	54.54 	60.19 	64.93 	62.88 	65.29 	65.04 	64.54 	63.33 	63.23 	60.35 	56.22 	55.19 	54.74 	56.11 	56.69 	54.40 	50.54 	48.34 p
A,PC,DIR_S14_S15,S14_S15,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10.05 	8.11 	7.85 	7.08 	8.11 	10.68 	13.69 	19.89 	28.20 	32.54 	37.73 	42.84 	50.32 	62.25 	62.83 	66.32 	62.51 	52.88 	47.71 	45.11 	38.14 	35.55 	32.61 	30.54 	31.39 	34.80 	35.27 	31.32 	27.61 p
A,PC,DIR_S14_S15,S14_S15,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.09 	57.15 	63.15 	66.71 	77.18 	82.24 	96.88 	110.99 	125.47 	145.56 	170.31 	190.44 	201.44 	198.16 	208.30 	201.56 	197.55 	184.56 	195.49 	176.07 	163.12 	147.13 	151.37 	139.61 	122.91 	102.51 	98.37 	96.52 	89.33 
A,PC,DIR_S14_S15,S14_S15,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	166.31 	165.77 	173.55 	194.46 	187.26 	162.24 	185.21 	190.82 	176.53 	173.60 	173.54 	175.96 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,DIR_S14_S15,S14_S15,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.21 	23.37 	24.30 	26.19 	29.35 	32.13 	34.11 	36.34 	38.76 	42.25 	46.64 	50.82 	54.81 	55.98 	59.92 	62.87 	62.86 	63.99 	62.72 	61.71 	60.98 	60.85 	60.41 	60.63 	61.61 	63.73 	63.02 	60.66 	57.21 
A,PC,DIR_S14_S15,S14_S15,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.45 	2.04 	2.15 	2.29 	2.76 	2.44 	2.88 	4.79 	7.58 	13.96 	21.97 	31.86 	44.74 	44.51 	46.71 	44.38 	41.45 	39.39 	36.80 	35.89 	36.65 	36.11 	38.13 	38.59 	38.41 	37.73 	37.31 	36.34 	34.88 
A,PC,DIR_S14_S15,S14_S15,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73.39 	74.85 	76.79 	76.13 	83.36 	85.50 	84.30 	82.76 	91.69 	97.30 	106.78 	113.67 	132.89 	135.56 	136.88 	143.14 	145.28 	149.75 	146.66 	153.21 	159.12 	165.01 	165.40 	173.08 	172.62 b	171.44 	181.62 	181.23 	175.15 
A,PC,DIR_S14_S15,S14_S15,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.54 	2.31 	2.58 	4.20 	5.37 	8.77 	9.91 	14.65 	34.10 	28.68 	45.27 	64.79 	74.68 	67.19 	73.64 	72.79 	67.49 	56.53 	50.98 	45.32 	44.36 	39.76 	37.46 	33.88 	32.70 	32.14 	32.70 	31.23 	29.66 
A,PC,DIR_S14_S15,S14_S15,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.44 	25.78 	27.31 	28.67 	32.34 	35.56 	40.21 	44.05 	56.77 	63.89 	69.04 	75.92 	78.42 	86.71 	94.20 	94.76 	94.47 	96.18 	94.12 	95.58 	92.50 	90.06 	99.54 	99.09 	101.86 	105.43 	103.63 	103.34 	94.98 
A,PC,DIR_S14_S15,S14_S15,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	115.36 	122.60 	131.05 	142.89 	153.76 	160.66 	162.69 	169.53 	182.39 	191.61 	202.79 	214.57 	218.93 	218.94 	233.98 	241.98 	238.76 	235.90 	230.27 	225.12 	225.75 	222.44 	223.81 	217.26 	208.99 	209.26 	206.64 	197.41 	184.90 
A,PC,DIR_S14_S15,S14_S15,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	102.31 	103.63 	105.54 	104.22 	108.10 	112.84 	121.91 	122.15 	127.28 	135.66 	141.14 	165.54 	170.95 	170.26 	173.28 	176.75 	179.28 	183.17 	186.44 	188.62 	186.44 	195.41 	199.79 	204.21 	204.62 	210.92 	206.25 	210.38 	: 
A,PC,DIR_S14_S15,S14_S15,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.06 	5.03 	6.13 	8.54 	8.60 	9.62 	11.69 	17.11 	17.82 	18.64 	21.59 	26.99 	34.49 	45.58 	47.42 	50.79 	54.31 	52.66 	54.37 	54.56 	56.59 	56.80 	55.06 	55.69 	55.23 	52.66 	53.53 	44.62 	40.04 
A,PC,DIR_S14_S15,S14_S15,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.60 	43.75 	50.74 	59.88 	71.90 	80.91 	87.77 	93.43 	98.84 	105.63 	111.34 	118.67 	123.87 	124.66 	125.82 	125.59 	125.47 	122.42 	118.90 	114.32 	107.42 	101.84 	99.45 	95.31 	91.81 	94.33 	92.81 	87.90 	81.95 p
A,PC,DIR_S14_S15,S14_S15,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.14 	1.13 	1.16 	1.72 	1.13 	1.28 	1.22 	3.39 	7.50 	8.82 	13.77 	18.69 	31.95 	35.73 	37.70 	37.07 	35.04 	33.62 	33.57 	32.22 	30.81 	29.02 	27.38 	27.76 	24.88 	25.71 	26.02 	23.89 	21.65 p
A,PC,DIR_S14_S15,S14_S15,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.93 	85.57 	89.83 	91.89 	94.26 	95.28 	96.12 	99.35 	104.98 	113.61 	121.52 	126.60 	127.83 	131.11 	138.66 	139.87 	140.86 	140.76 	143.48 	145.19 	151.26 	155.70 	160.97 	160.47 	160.31 	172.20 	170.76 	166.61 	155.02 
A,PC,DIR_S14_S15,S14_S15,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.63 	16.06 	16.40 	18.68 	23.53 	23.82 	23.68 	23.94 	25.03 	26.20 	29.81 	34.95 	40.91 	42.74 	45.79 	48.19 	47.80 	49.44 	47.67 	46.37 	45.87 	45.32 	45.61 	45.45 	44.83 	43.08 	42.33 	41.26 	39.33 
A,PC,DIR_S14_S15,S14_S15,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.98 	5.19 	5.82 	6.63 	5.86 	6.92 	9.46 	9.43 	12.07 	13.67 	21.07 	24.15 	30.99 	35.07 	36.80 	39.36 	43.42 	46.72 	50.38 	54.52 	58.20 	63.56 	67.67 	67.99 	70.12 	70.84 	72.45 	71.87 	69.41 
A,PC,DIR_S14_S15,S14_S15,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.00 p	24.55 p	26.35 p	27.99 p	26.67 p	25.50 p	25.27 p	24.35 p	22.20 p	22.43 p	27.19 p	23.11 p	16.85 p	16.50 p
A,PC,DIR_S14_S15,S14_S15,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	77.46 	76.26 	77.71 	82.01 	85.84 	87.36 	93.07 	100.89 	110.20 	118.21 	122.33 	129.50 	132.33 	134.17 	132.42 	128.31 	127.42 	125.36 	122.79 	120.12 	118.73 	121.35 	124.36 	123.20 	122.56 	: 	: 	: 	: 
A,PC,IRG_S11,S11,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.56 	27.55 	27.58 	27.81 	27.38 	29.13 	28.64 	26.76 	28.56 	27.99 	26.58 	25.70 	25.97 	25.60 	23.83 	23.06 	25.24 	25.82 	26.24 	25.60 	25.47 	26.14 	26.55 	26.77 	27.68 	27.00 	27.27 	26.54 	26.35 
A,PC,IRG_S11,S11,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.45 	22.76 	22.85 	23.66 	23.80 	25.01 	24.81 	22.76 	22.75 	23.65 	23.97 	24.04 	24.97 	25.76 	24.13 b	23.44 	24.76 	24.97 	24.52 	25.17 	26.11 	26.73 	26.47 	26.44 	26.94 	26.53 	26.36 	26.14 	27.39 p
A,PC,IRG_S11,S11,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.12 	5.34 	16.60 	20.27 	25.01 	26.36 	28.21 	24.62 	33.56 	35.78 	45.11 	44.17 	48.17 	59.36 	38.99 	33.65 	31.67 	31.51 	29.56 	26.13 	24.47 	22.79 	23.84 	: 	: 	: 	: 	: 	: 
A,PC,IRG_S11,S11,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.86 	24.76 	26.94 	28.89 	30.03 	31.48 	30.29 	30.84 	29.64 	30.28 	30.27 	31.07 	31.86 	30.70 	28.31 	28.00 	28.42 	29.35 	29.10 	29.07 	28.98 	29.16 	29.83 	28.90 	29.09 	29.60 	28.42 	27.52 p	27.66 p
A,PC,IRG_S11,S11,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.31 	16.28 	19.11 	14.71 	18.46 	16.22 	14.22 	16.62 	13.33 	12.54 	13.27 	17.96 	18.56 	22.35 	17.36 	17.81 	15.37 	13.32 	14.98 	15.03 	14.88 	23.90 	27.52 	18.22 	15.58 	20.22 	16.24 	17.70 	19.80 p
A,PC,IRG_S11,S11,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41.60 	43.58 	40.36 	37.67 	37.25 	36.26 	37.92 	34.45 	27.47 	31.50 	30.22 	28.67 	30.95 	29.44 	25.80 	26.55 	28.04 	28.41 	28.53 	26.85 	26.62 	26.79 	26.40 	25.62 	26.61 	25.91 	27.19 	29.06 	27.58 
A,PC,IRG_S11,S11,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.49 	22.42 	22.33 	22.51 	23.01 	23.74 	22.25 	20.05 	19.69 	19.59 	19.75 	20.36 	20.78 	21.09 	19.22 	19.36 	20.21 	20.00 	19.53 	19.85 	19.97 	19.99 	20.16 	20.64 	21.06 	20.30 p	19.83 p	20.21 p	20.04 p
A,PC,IRG_S11,S11,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.77 	23.74 	24.99 	27.51 	25.06 	24.45 	24.45 	23.95 	23.73 	23.02 	22.68 	23.96 	24.33 	24.50 	23.44 	19.56 	19.64 	20.23 	21.42 	21.77 	22.25 	23.50 	23.74 	24.06 	23.41 	24.72 	23.79 	22.84 	22.90 
A,PC,IRG_S11,S11,EA20	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.78 	24.48 	23.66 	22.53 	22.25 	22.30 	22.72 	23.32 	23.92 	23.35 	20.78 	20.83 	21.61 	21.70 	21.22 	21.41 	22.14 	22.51 	22.67 	22.99 	24.72 	23.97 	22.68 	22.62 	22.32 
A,PC,IRG_S11,S11,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.89 	30.17 	32.87 	36.03 	29.26 	31.80 	31.07 	33.40 	36.12 	35.00 	34.11 	34.92 	35.08 	31.04 	21.16 	21.00 	28.02 	29.26 	28.40 	25.64 	23.54 	23.90 	23.72 	26.61 	26.35 	31.58 	28.60 	23.65 	24.95 
A,PC,IRG_S11,S11,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.13 	25.17 	26.96 	25.82 	26.52 	28.50 	27.20 	25.39 	22.33 	21.76 	18.77 	18.99 	22.32 	20.57 	19.19 	20.04 	16.26 	15.78 	13.48 	16.65 	16.54 	18.12 	18.55 	19.38 	20.38 	21.68 	23.53 	22.30 p	22.62 p
A,PC,IRG_S11,S11,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.62 	23.46 	24.42 	26.28 	28.07 	28.37 	27.42 	26.96 	27.56 	28.46 	29.79 	31.04 	30.17 	25.69 	18.79 	19.29 	19.60 	21.95 	22.83 	24.31 	23.89 	24.89 	25.55 	26.98 	27.65 	27.35 	25.83 	23.74 	23.03 
A,PC,IRG_S11,S11,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.44 	24.96 	24.21 	23.08 	22.70 	22.80 	23.27 	23.94 	24.68 	24.26 	21.44 	21.18 	21.92 	22.10 	21.77 	22.10 	22.76 	23.12 	23.17 	23.46 	25.04 	24.38 	23.11 	23.09 	22.76 
A,PC,IRG_S11,S11,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.10 	22.03 	21.98 	22.19 	21.72 	22.94 	23.73 	21.30 	20.89 	20.73 	21.77 	21.55 	23.40 	24.79 	23.78 	22.59 	22.33 	22.74 	21.28 	20.98 	21.73 	22.67 	23.30 	24.28 	23.62 	23.80 	24.76 	25.11 	24.36 
A,PC,IRG_S11,S11,FR	28.05 	26.15 	25.08 	23.97 	23.94 	22.31 	22.19 	22.61 	24.22 	24.50 	24.72 	24.01 	24.87 	25.49 	25.30 	24.87 	24.36 	24.68 	25.00 	24.18 	24.75 	24.08 	23.99 	24.18 	23.65 	23.71 	21.65 	21.79 	21.16 	20.86 	20.61 	21.94 	21.44 	21.44 	20.31 	19.59 	19.82 	19.73 	20.33 	20.88 	21.52 	22.06 	22.21 	20.86 	19.37 	19.17 	18.77 	18.78 	18.01 	18.52 	19.59 	20.59 	20.69 	19.79 	19.31 	19.43 	19.64 	20.23 	21.34 	21.82 	19.91 	20.25 	20.88 	20.65 	20.45 	20.50 	20.43 	20.80 	21.11 	21.74 	21.60 	22.23 	22.93 	23.12 p	22.75 p
A,PC,IRG_S11,S11,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.99 	21.84 	28.18 	31.19 	32.28 	28.09 	28.33 	31.94 	35.59 	33.67 	35.15 	36.34 	32.41 	35.31 	32.17 	27.56 	25.48 	24.58 	24.24 	25.20 	26.40 	28.52 	28.88 	27.69 	28.27 	26.58 	24.17 	24.93 	23.38 p
A,PC,IRG_S11,S11,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31.89 	32.52 	30.48 	32.38 	35.61 	34.79 	30.82 	27.10 	28.05 	27.61 	28.14 	26.46 	27.47 	28.57 	27.44 	24.11 	24.84 	24.00 	25.37 	25.94 	23.51 	24.65 	26.55 	28.35 	32.12 	29.49 	31.87 	33.48 	29.82 p
A,PC,IRG_S11,S11,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.14 	17.80 	18.33 	19.31 	20.27 	18.70 	18.07 	17.91 	19.01 	20.58 	23.20 	23.29 	21.81 	19.19 	21.91 	19.61 	20.21 	26.09 	22.36 	23.93 	29.38 	43.29 	40.01 	32.13 	66.97 	50.30 	23.65 	21.26 	23.09 
A,PC,IRG_S11,S11,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.28 	24.38 	19.16 	23.26 	28.32 	40.72 	49.40 	36.53 	26.78 	15.86 	15.06 	18.01 	19.30 	17.69 	19.61 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,IRG_S11,S11,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.14 	21.89 	22.12 	22.83 	23.66 	24.81 	24.45 	25.17 	24.38 	24.19 	24.33 	24.74 	24.57 	23.78 	21.55 	22.41 	22.85 	21.82 	20.62 	20.98 	21.33 	21.67 	22.05 	22.82 	22.60 	22.82 	23.05 	23.31 	22.53 
A,PC,IRG_S11,S11,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.42 	28.81 	32.51 	33.95 	31.63 	24.96 	26.27 	24.53 	24.76 	24.93 	25.96 	29.44 	31.51 	27.03 	15.98 	13.81 	16.35 	16.09 	17.19 	17.71 	17.53 	18.19 	19.23 	20.13 	20.96 	19.29 	22.91 	21.72 	23.00 
A,PC,IRG_S11,S11,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25.02 	25.39 	24.52 	21.33 	29.89 	22.79 	24.79 	23.76 	20.07 	21.49 	20.81 	21.12 	20.89 	22.81 	19.99 	18.65 	22.96 	25.75 	24.58 	24.74 	19.99 	18.60 	19.68 	16.53 	19.85 	15.62 	19.40 	15.40 	15.05 
