freq,unit,na_item,sector,geo\TIME_PERIOD	1949 	1950 	1951 	1952 	1953 	1954 	1955 	1956 	1957 	1958 	1959 	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC,B2G_B3G_RAT_S11,S11,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.69 	35.59 	38.63 	42.07 	44.89 	44.83 	46.08 	47.88 	48.86 	49.57 	49.96 	48.98 	47.20 	42.04 	40.16 	46.02 	49.53 	49.28 	48.93 	47.66 	45.12 	44.80 	45.82 	45.14 	44.21 	44.39 	45.91 	46.21 	42.23 
A,PC,B2G_B3G_RAT_S11,S11,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.60 	53.81 	54.09 	53.47 	52.14 	53.96 	55.00 	50.85 	50.96 	53.19 	51.50 	52.82 	53.87 	53.91 	53.65 	50.70 	49.85 	51.42 	52.27 	48.09 	46.36 	40.42 	39.63 	42.74 	37.91 	39.20 	40.07 	45.22 p	41.85 p
A,PC,B2G_B3G_RAT_S11,S11,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.46 	39.68 	37.36 	36.54 	37.22 	36.81 	36.86 	36.67 	37.09 	36.75 	37.17 	36.79 	38.35 	39.87 	41.20 	40.79 	41.15 	42.25 	43.51 	42.89 	43.04 	43.83 	43.64 	42.84 	41.53 	37.61 	37.81 	40.27 	39.69 
A,PC,B2G_B3G_RAT_S11,S11,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.14 	39.21 	39.88 	39.81 	39.82 	40.41 	40.76 	41.51 	42.20 	41.27 	39.90 	40.66 	40.62 	39.57 	39.67 	39.77 	40.85 	40.75 	40.93 	40.27 	39.82 	40.22 	42.13 	41.89 	41.28 
A,PC,B2G_B3G_RAT_S11,S11,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.31 	44.64 	46.05 	46.83 	46.08 	46.97 	47.59 	47.31 	47.05 	47.80 	46.57 	46.32 	47.93 	46.51 	41.75 	42.60 	41.70 	39.51 	39.64 	39.55 	40.22 	40.22 	42.68 	41.76 	41.75 	43.29 	41.97 	41.51 	40.11 
A,PC,B2G_B3G_RAT_S11,S11,FR	29.76 	33.31 	33.01 	30.36 	30.47 	29.59 	30.06 	29.65 	29.85 	30.22 	30.84 	31.93 	30.88 	29.30 	28.31 	28.60 	28.86 	29.12 	29.25 	28.34 	30.15 	30.59 	31.00 	30.26 	30.37 	29.49 	26.45 	26.03 	27.14 	26.10 	25.90 	25.11 	24.71 	24.72 	25.26 	26.94 	27.95 	31.44 	31.42 	33.01 	33.23 	32.50 	32.13 	31.99 	31.22 	31.37 	32.17 	31.21 	32.02 	33.15 	32.20 	32.14 	32.14 	31.51 	31.76 	31.85 	31.93 	32.32 	33.18 	32.82 	30.65 	31.45 	31.08 	29.89 	30.30 	30.49 	31.39 	30.79 	30.80 	30.06 	30.73 	31.26 	33.47 	31.03 p	32.75 p
A,PC,B2G_B3G_RAT_S11,S11,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.04 	30.57 	32.28 	28.97 	23.25 	24.61 	29.07 	29.87 	30.91 	33.62 	34.55 	37.21 	37.94 	38.99 	35.53 	37.23 	39.17 	38.66 	39.27 	38.32 	39.10 	38.99 	38.99 	37.40 	38.87 	37.39 	41.50 	42.59 	41.31 p
A,PC,B2G_B3G_RAT_S11,S11,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.65 	30.71 	37.18 	39.35 	40.24 	37.56 	38.76 	43.48 	41.04 	41.76 	40.86 	42.91 	41.77 	42.07 	41.91 	42.79 	42.64 	41.70 	43.77 	46.29 	47.68 	45.71 	45.28 	45.21 	43.74 	44.11 	46.33 	44.41 	44.24 p
A,PC,B2G_B3G_RAT_S11,S11,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	45.25 	45.52 	49.02 	50.84 	52.23 	53.22 	53.96 	57.30 	55.42 	54.30 	53.49 	53.17 	51.56 	46.96 	49.75 	53.81 	56.49 	57.32 	59.23 	61.20 	72.63 	70.32 	71.77 	72.78 	72.96 	76.70 	78.04 	78.37 	74.01 
A,PC,B2G_B3G_RAT_S11,S11,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.78 	41.24 	40.31 	36.18 	35.19 	30.51 	26.16 	22.13 	43.08 	48.73 	50.77 	46.28 	41.66 	41.65 	41.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC,B2G_B3G_RAT_S11,S11,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51.24 	51.14 	50.45 	48.72 	48.31 	49.34 	49.81 	49.11 	48.12 	48.07 	46.84 	46.38 	45.56 	45.10 	43.18 	43.47 	43.58 	42.44 	42.69 	42.46 	42.54 	44.59 	44.09 	43.37 	43.33 	42.86 	44.96 	45.97 	45.63 
A,PC,B2G_B3G_RAT_S11,S11,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	49.91 	50.21 	49.17 	45.59 	42.90 	51.70 	56.56 	56.52 	56.42 	55.53 	54.39 	51.58 	52.27 	50.53 	51.57 	54.78 	57.38 	57.57 	56.95 	55.67 	52.77 	50.00 	49.98 	49.84 	47.87 	48.26 	46.89 	46.98 	43.13 
A,PC,B2G_B3G_RAT_S11,S11,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.60 	40.07 	40.77 	43.10 	41.87 	41.49 	40.16 	38.20 	38.79 	38.79 	37.65 	37.03 	40.11 	39.50 	35.89 	39.38 	38.68 	37.68 	38.14 	37.72 	40.51 	42.71 	39.57 	38.13 	38.30 	40.00 	41.92 	41.13 	37.03 
A,PC,B2G_B3G_RAT_S11,S11,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50.95 	46.99 	50.21 	51.48 	52.27 	51.62 	53.02 	57.08 	55.94 	55.38 	51.89 	48.15 	45.03 	42.24 	47.79 	51.44 	51.08 	51.92 	50.23 	48.26 	45.04 	43.14 	42.75 	40.85 	39.19 	38.21 	45.43 	40.63 	36.44 
A,PC,B2G_B3G_RAT_S11,S11,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50.16 	49.08 	50.27 	51.40 	51.15 	53.04 	50.37 	52.62 	52.67 	51.60 	51.41 	49.83 	50.99 	54.34 	51.36 	53.89 	50.92 	52.13 	53.47 	56.89 	59.24 	56.50 	60.25 	57.60 	55.33 	58.18 	62.48 	61.75 	61.43 
A,PC,B2G_B3G_RAT_S11,S11,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.68 	37.16 	38.58 	38.89 	37.70 	37.36 	38.92 	38.89 	37.99 	39.36 	40.71 	42.18 	42.71 	41.78 	39.05 	40.00 	39.32 	38.66 	38.95 	38.49 	40.70 	40.31 	40.81 	40.08 	40.14 	40.38 	43.37 	44.35 	44.02 p
A,PC,B2G_B3G_RAT_S11,S11,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	36.42 	42.64 	47.75 	48.18 	48.42 	50.35 	52.86 	52.00 	42.76 	39.67 	39.22 	44.59 	46.96 	47.84 	46.72 	47.96 	47.41 	48.43 	51.08 	50.60 	44.19 	46.77 	56.35 	55.79 	52.33 	52.93 	56.46 	59.54 	60.56 	57.60 	59.23 	53.29 	55.57 	56.79 	56.22 	54.65 	53.17 	49.78 	47.53 	50.24 	52.77 	49.17 	46.33 	57.30 	68.61 	: 
A,PC,B2G_B3G_RAT_S11,S11,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	37.82 	34.80 	34.91 	33.81 	35.84 	37.09 	33.79 	38.22 	42.43 	47.17 	48.17 	48.75 	46.92 	44.96 	49.97 	47.32 	48.78 	48.55 	48.55 	47.78 	49.64 	47.10 	45.58 	43.85 	44.99 	46.77 	47.65 	48.72 	47.80 
A,PC,B2G_B3G_RAT_S11,S11,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	38.34 	37.74 	38.15 	37.56 	37.97 	37.76 	36.92 	36.72 	37.41 	36.95 	36.16 	36.35 	38.05 	36.36 	38.26 	38.46 	38.27 	39.98 	41.77 	41.73 	42.08 	42.27 	41.77 	39.81 	38.75 	35.91 	36.02 	36.81 	34.58 p
A,PC,B2G_B3G_RAT_S11,S11,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48.70 	47.36 	54.67 	44.86 	52.59 	44.02 	35.43 	43.82 	48.30 	47.09 	45.38 	47.85 	58.90 	56.95 	62.05 	58.78 	59.70 	62.00 	56.78 	56.91 	57.52 	52.96 	53.08 	55.27 	52.51 	52.80 	54.32 	55.01 	52.81 p
A,PC,B2G_B3G_RAT_S11,S11,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	41.48 p	40.60 p	42.92 p	42.39 p	42.84 p	44.84 p	50.62 p	50.78 p	51.84 p	47.10 p	48.14 p	49.32 p	47.59 p	43.68 p	41.72 p	39.99 p	37.23 p	35.46 p	: 
A,PC,B2G_B3G_RAT_S11,S11,SE	: 	30.14 	35.16 	29.76 	28.34 	29.05 	27.47 	29.01 	29.07 	29.87 	31.74 	29.55 	28.90 	27.46 	27.47 	27.93 	27.34 	25.76 	27.02 	25.54 	25.97 	27.36 	25.30 	27.66 	31.04 	33.31 	32.40 	28.04 	23.90 	25.97 	28.75 	30.48 	29.63 	33.60 	35.60 	38.17 	37.73 	36.45 	35.68 	36.41 	34.98 	32.44 	33.33 	37.17 	40.94 	43.40 	45.50 	41.34 	41.04 	40.45 	39.94 	39.10 	36.50 	37.27 	37.77 	39.14 	39.12 	41.36 	39.57 	37.42 	35.71 	39.04 	38.19 	35.32 	34.55 	35.06 	37.36 	36.28 	35.59 	35.03 	36.70 	38.20 	39.30 	38.39 	37.74 
A,PC,B2G_B3G_RAT_S11,S11,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22.55 	24.21 	29.23 	31.09 	32.89 	30.02 	31.22 	31.98 	33.63 	33.40 	32.52 	34.28 	36.13 	35.93 	33.51 	32.80 	33.85 	34.14 	35.74 	36.25 	36.00 	35.50 	36.35 	35.61 	34.82 	36.75 	35.21 	32.38 	35.33 
A,PC,B2G_B3G_RAT_S11,S11,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	47.55 	46.40 	48.03 	48.29 	51.28 	50.94 	53.32 	51.71 	54.11 	58.68 	57.02 	59.30 	59.57 	59.77 	55.16 	58.50 	58.15 	58.61 	58.22 	57.27 	56.84 	54.31 	51.80 	49.55 	47.72 	47.35 	47.74 	44.36 	51.33 
A,PC,B2G_B3G_RAT_S11,S11,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	64.22 p	62.87 p	64.28 p	61.85 p	62.31 p	62.26 p	61.82 p	58.04 p	60.89 p	62.28 p	61.64 p	65.37 p	67.31 p	70.38 p	63.64 p
A,PC,B2G_B3G_RAT_S11,S11,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.25 	40.62 	39.14 	38.45 	35.64 	34.94 	33.61 	34.46 	35.26 	34.35 	34.70 	34.76 	33.44 	34.28 	33.80 	34.66 	34.13 	34.45 	33.80 	34.97 	35.25 	34.78 	34.80 	34.41 	33.94 	: 	: 	: 	: 
A,PC,B7G_N_HAB_GR,S14_S15,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.81 	1.24 	3.20 	4.19 	4.04 	0.98 	1.54 	3.36 	2.50 	5.01 	4.64 	4.68 	3.28 	1.29 	0.64 	1.31 	4.06 	-0.52 	1.83 	1.44 	2.72 	2.11 	3.16 	2.06 	0.67 	5.52 	7.39 	6.45 
A,PC,B7G_N_HAB_GR,S14_S15,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.16 	1.76 	3.37 	3.13 	4.57 	4.36 	1.74 	1.94 	2.42 	3.39 	4.58 	4.36 	5.22 	1.03 	0.81 	2.40 	2.26 	0.88 	1.04 	0.70 	2.44 	3.20 	2.99 	3.58 	1.36 	5.56 	8.16 	7.19 
A,PC,B7G_N_HAB_GR,S14_S15,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	44.54 	724.48 	27.72 	12.00 	10.01 	11.13 	14.95 	6.75 	9.42 	11.11 	13.92 	13.16 	22.80 	3.02 	2.56 	9.54 	1.03 	2.40 	1.81 	4.11 	5.11 	7.76 	: 	: 	: 	: 	: 	: 
A,PC,B7G_N_HAB_GR,S14_S15,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.64 	5.06 	1.77 	3.70 	2.96 	3.10 	-1.41 	-0.13 	1.85 	2.90 	4.00 	4.43 	2.29 	0.54 	1.19 	0.05 	0.42 	1.15 	0.19 	-0.96 	0.27 	-0.65 	0.99 	1.04 	2.15 	0.21 	3.20 p	1.49 p
A,PC,B7G_N_HAB_GR,S14_S15,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.47 	4.91 	5.13 	8.21 	8.55 	4.87 	1.85 	9.86 	9.73 	8.47 	6.18 	4.89 	10.14 	-0.90 	0.01 	-0.02 	-3.94 	-3.75 	-6.69 	0.95 	4.06 	4.96 	5.29 	9.42 	1.84 	8.55 	11.25 	4.03 p
A,PC,B7G_N_HAB_GR,S14_S15,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.19 	11.01 	6.63 	4.67 	5.79 	7.51 	6.12 	4.87 	5.50 	4.69 	6.29 	5.64 	7.68 	0.38 	2.69 	1.23 	1.11 	0.22 	3.86 	3.00 	3.95 	7.69 	7.59 	6.93 	6.36 	9.71 	9.12 	6.42 
