freq,coop_ptn,unit,geo\TIME_PERIOD	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,APPL,P_MHAB,AL	: 	: 	: 	: 	: 	0.34 	0.00 	0.00 	0.00 	0.00 	1.04 	0.00 	0.70 	0.00 	0.00 	0.70 	0.00 	1.07 	2.52 	2.9 p
A,APPL,P_MHAB,AT	122.37 	127.98 	138.60 	166.60 	180.62 	179.31 	208.53 	206.63 	222.30 	235.03 	229.81 	230.14 	231.67 	251.09 	258.02 	264.19 	258.61 	257.82 	263.33 	258.66 p
A,APPL,P_MHAB,BA	: 	: 	: 	: 	: 	0.26 	0.52 	0.00 	0.78 	0.26 	0.00 	0.00 	0.57 	0.00 	0.29 p	: 	: 	: 	: 	: 
A,APPL,P_MHAB,BE	143.27 	158.23 	174.63 	178.62 	177.31 	150.88 	187.69 	182.46 b	169.80 b	168.65 	171.91 	181.03 	195.12 	189.18 	205.48 	210.81 	208.52 	213.92 p	222.75 p	216.9 p
A,APPL,P_MHAB,BG	2.07 	1.44 	1.58 	2.12 	2.00 	2.55 	1.49 	2.18 	1.78 	3.17 	4.71 	4.60 	2.81 	4.52 	4.41 	5.02 	7.79 	6.25 	7.12 b	6.2 bp
A,APPL,P_MHAB,CH	631.02 	675.93 	735.31 	777.50 	776.97 	760.22 	877.20 	828.19 b	843.58 	833.44 	843.85 	859.17 	872.05 	870.11 	935.01 	963.93 	940.59 	977.09 p	1043.78 p	1067.45 p
A,APPL,P_MHAB,CY	27.47 	47.39 	62.59 	54.75 	71.19 	51.98 	59.08 	64.64 	64.82 	47.57 	51.61 	46.01 	42.28 	57.01 	56.32 	54.42 	72.87 	46.65 p	47.11 p	57.56 p
A,APPL,P_MHAB,CZ	8.24 	7.15 	8.01 	9.32 	10.59 	12.93 	15.94 	15.43 	13.32 	14.36 	15.87 	20.20 	17.89 	19.44 	23.33 	19.02 	19.26 	19.13 b	20.8 b	22.26 p
A,APPL,P_MHAB,DE	279.27 	288.46 	301.13 	306.20 	324.77 	306.68 	334.18 	326.40 b	338.81 	328.72 	316.53 	303.69 	302.76 	308.98 	321.61 	322.07 	311.23 	311.20 	293.71 	295.95 p
A,APPL,P_MHAB,DK	182.07 	216.63 	229.16 	256.34 	288.33 	267.42 	327.52 	319.90 	287.04 	345.86 	351.38 	337.82 	323.85 	362.36 	411.66 	415.35 	414.99 	451.79 	454.85 	437.58 p
A,APPL,P_MHAB,EE	2.94 	2.21 	5.20 	9.70 	5.24 	23.98 	20.28 	21.09 	31.00 	31.11 	28.91 	24.33 b	32.68 	40.99 	35.55 	36.17 	42.87 	51.84 	48.93 	51.98 p
A,APPL,P_MHAB,EL	6.30 	6.10 	6.35 	7.51 	8.03 	9.18 	7.46 	7.02 	7.15 	6.20 	8.72 	8.41 	6.96 	9.48 	11.18 	13.15 	12.62 	19.08 e	17.84 ep	15.08 p
A,APPL,P_MHAB,ES	19.71 	22.27 	24.80 	28.37 	28.88 	27.07 	30.70 	30.04 	33.01 	32.26 	31.65 	32.68 	33.86 	35.86 	38.06 	39.99 	37.88 	41.02 p	41.32 bp	43.9 p
A,APPL,P_MHAB,EU27_2020	118.79 	123.52 	126.45 	130.72 	137.47 b	129.65 	138.84 b	135.43 b	137.11 b	138.10 	141.26 b	140.96 b	139.40 	143.31 b	148.17 e	148.78 bep	147.37 ep	151.75 bep	151.25 bep	152.82 bep
A,APPL,P_MHAB,FI	307.56 	288.60 	317.87 	384.97 	339.14 	264.66 	301.49 	287.29 	341.89 	348.23 	399.52 	363.72 	326.82 	326.24 	313.30 	308.79 	343.43 	380.44 	385.16 	419.84 p
A,APPL,P_MHAB,FR	129.20 	127.52 	126.91 	130.97 	141.68 	139.12 	147.72 	147.66 	151.24 	149.53 	160.06 b	161.69 	157.12 	158.69 	155.87 	151.85 p	157.08 p	157.83 p	161.58 p	158.63 p
A,APPL,P_MHAB,HR	5.57 	6.03 	6.96 	8.81 	5.57 	4.64 	3.96 	4.20 	4.45 	2.35 	2.83 	2.14 	3.83 	2.42 	3.42 	4.67 	5.68 	6.82 bp	8.3 	13.24 p
A,APPL,P_MHAB,HU	9.30 	8.03 	9.23 	9.94 	10.76 	11.57 	10.70 	9.63 	10.58 b	10.41 	11.55 	9.85 	10.90 	9.71 	12.07 	9.93 	11.18 	12.26 	10.78 bp	11.25 bp
A,APPL,P_MHAB,IE	80.09 	74.76 	81.65 	96.16 	107.81 	137.14 	139.69 	142.57 	132.40 	122.41 	133.54 	130.58 	152.88 	137.29 	169.70 e	178.75 e	196.57 	201.66 	230.15 	200.52 p
